"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 24 04:19:53 UTC 2024","Sun Mar 24 04:24:03 UTC 2024","250652","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun Mar 24 04:28:42 UTC 2024","Sun Mar 24 04:28:43 UTC 2024","331","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Mar 24 02:46:13 UTC 2024","Sun Mar 24 02:46:33 UTC 2024","20547","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Mar 24 02:48:49 UTC 2024","Sun Mar 24 02:48:52 UTC 2024","3094","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sun Mar 24 04:30:26 UTC 2024","Sun Mar 24 04:30:31 UTC 2024","5655","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Mar 24 03:42:36 UTC 2024","Sun Mar 24 03:43:17 UTC 2024","40653","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sun Mar 24 04:59:04 UTC 2024","Sun Mar 24 04:59:07 UTC 2024","3944","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sun Mar 24 03:16:01 UTC 2024","Sun Mar 24 03:16:02 UTC 2024","1249","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun Mar 24 02:46:36 UTC 2024","Sun Mar 24 02:46:36 UTC 2024","386","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Mar 24 02:42:27 UTC 2024","Sun Mar 24 02:42:30 UTC 2024","3035","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Mar 24 05:10:48 UTC 2024","Sun Mar 24 05:10:58 UTC 2024","10710","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Mar 24 02:49:06 UTC 2024","Sun Mar 24 02:49:15 UTC 2024","9818","","6. Company Account","","","","7. Complete In Company Details",""
"skipped","Sun Mar 24 02:24:38 UTC 2024","Sun Mar 24 02:24:38 UTC 2024","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sun Mar 24 04:59:08 UTC 2024","Sun Mar 24 04:59:14 UTC 2024","6921","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sun Mar 24 02:45:14 UTC 2024","Sun Mar 24 02:45:31 UTC 2024","17672","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Mar 24 02:27:36 UTC 2024","Sun Mar 24 02:27:55 UTC 2024","19041","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sun Mar 24 02:42:20 UTC 2024","Sun Mar 24 02:42:21 UTC 2024","1540","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sun Mar 24 02:48:33 UTC 2024","Sun Mar 24 02:48:38 UTC 2024","5175","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Mar 24 02:35:49 UTC 2024","Sun Mar 24 02:36:10 UTC 2024","20838","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Mar 24 02:37:42 UTC 2024","Sun Mar 24 02:37:44 UTC 2024","2364","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Mar 24 02:26:52 UTC 2024","Sun Mar 24 02:26:56 UTC 2024","4177","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sun Mar 24 03:16:02 UTC 2024","Sun Mar 24 03:16:14 UTC 2024","11262","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Mar 24 03:18:29 UTC 2024","Sun Mar 24 03:18:30 UTC 2024","1636","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sun Mar 24 04:57:51 UTC 2024","Sun Mar 24 04:57:54 UTC 2024","3303","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sun Mar 24 02:46:33 UTC 2024","Sun Mar 24 02:46:36 UTC 2024","2135","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"failed","Sun Mar 24 04:59:16 UTC 2024","Sun Mar 24 05:02:28 UTC 2024","191205","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sun Mar 24 02:39:22 UTC 2024","Sun Mar 24 02:39:38 UTC 2024","16176","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Mar 24 02:31:28 UTC 2024","Sun Mar 24 02:31:39 UTC 2024","11010","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sun Mar 24 04:28:43 UTC 2024","Sun Mar 24 04:28:53 UTC 2024","9918","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Mar 24 02:24:16 UTC 2024","Sun Mar 24 02:24:16 UTC 2024","29","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sun Mar 24 02:24:16 UTC 2024","Sun Mar 24 02:24:38 UTC 2024","22329","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Mar 24 03:18:30 UTC 2024","Sun Mar 24 03:18:31 UTC 2024","188","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Mar 24 04:26:50 UTC 2024","Sun Mar 24 04:26:55 UTC 2024","4232","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Mar 24 02:25:04 UTC 2024","Sun Mar 24 02:25:26 UTC 2024","22216","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Sun Mar 24 02:33:27 UTC 2024","Sun Mar 24 02:33:30 UTC 2024","2752","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Mar 24 03:42:07 UTC 2024","Sun Mar 24 03:42:09 UTC 2024","1742","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Mar 24 03:20:32 UTC 2024","Sun Mar 24 03:20:37 UTC 2024","4764","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sun Mar 24 02:37:45 UTC 2024","Sun Mar 24 02:37:45 UTC 2024","432","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sun Mar 24 04:26:48 UTC 2024","Sun Mar 24 04:26:50 UTC 2024","2359","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
